Timestring,Error_std,Error_mean
2022-04-13_175502,0.01641094252326891,0.019973363308594064
2022-04-13_175741,0.008682700188401704,0.0029340101456007263
2022-04-13_180020,0.01851393821037608,-0.028893590783398815
2022-04-13_180256,0.008337712381321803,0.006447031941734951
2022-04-13_180536,0.012282839458875159,-0.009297461466206063
2022-04-13_180817,0.015033949518879281,-0.01840675683064784
2022-04-13_181104,0.01362095399345,-0.01614232231331778
2022-04-13_181400,0.03154168499435467,0.054249335838363874
2022-04-13_181643,0.023171778913308995,-0.04014841625321178
2022-04-13_181922,0.021200849773831527,0.03415941548548477
2022-04-13_182200,0.024403850623726887,-0.03951973832537459
2022-04-13_182438,0.011660179070043901,0.009085451992029505
2022-04-13_182724,0.09440084948613264,-0.17369353005930008
2022-04-13_183001,0.010737644947078488,-0.012381938192388624
2022-04-13_183244,0.010370179055424054,-0.009376259842219223
2022-04-13_183522,0.008522464241991629,-0.0028975674840539785
2022-04-13_183801,0.00799759389121571,-0.0024179414502395044
2022-04-13_184040,0.009261793050498813,-0.004411301767021609
2022-04-13_184317,0.008329492846698004,-6.403260139765504e-05
2022-04-13_184557,0.00880803459139574,-0.0062007011627551855
2022-04-13_184834,0.008541468872824039,-0.003607600634785006
2022-04-13_185122,0.006539884176871549,0.001723353526413796
2022-04-13_185402,0.008876169643063625,0.008908540795617538
2022-04-13_185640,0.008881944129322571,0.011381541451765547
2022-04-13_185916,0.009587529145823021,0.013819736701559567
2022-04-13_190202,0.007508241126990753,0.0017505293053988132
2022-04-13_190441,0.010338276477694109,0.008209646900845443
2022-04-13_190718,0.01007126294261222,0.01313791982024599
2022-04-13_191003,0.009511952405486399,0.012361932355723831
2022-04-13_191243,0.007041376697253482,0.006303635326700704
2022-04-13_191524,0.012132564632757798,0.01522808103427231
2022-04-13_191820,0.013382283940166374,0.01568244918668174
2022-04-13_192102,0.010200826065939628,-0.003575532894321578
2022-04-13_192340,0.009877893277487006,0.008418512888999728
2022-04-13_192618,0.0119121124028172,0.015923421956517636
2022-04-13_192859,0.021089861505735958,0.03807681646255157
2022-04-13_193136,0.015472204493943929,-0.02139151109708725
2022-04-13_193418,0.011989371564790931,-0.009840420172001098
2022-04-13_193655,0.00830662653167905,-0.005775394354432023
2022-04-13_193934,0.009135621279491935,0.007518180153379322
2022-04-13_194212,0.022413850975917814,0.03535314076817472
2022-04-13_194458,0.010306760710760272,0.006954381507231743
2022-04-13_194736,0.02178112217985253,-0.03477361351739182
2022-04-13_195017,0.01664684742178992,0.020986153468141325
2022-04-13_195256,0.07988849562316352,-0.15158193471695924
2022-04-13_195532,0.011671847530774566,-0.012785048600726328
2022-04-13_195810,0.008671235723236557,-0.0032647986159855297
2022-04-13_200056,0.009468107169562033,-0.006715518852809238
2022-04-13_200339,0.008423879636766232,-0.0038610005874812167
2022-04-13_200616,0.009656445069847277,-0.003124447805719091
2022-04-13_200857,0.009293489397679466,-0.00020710337382121052
2022-04-13_201135,0.009307274893596165,-0.005734514717551161
2022-04-13_201413,0.00900556196374555,-0.001977107303079211
2022-04-13_201650,0.009581043387758219,0.006342957472457051
2022-04-13_201929,0.010101883075861616,0.006642944883571887
2022-04-13_202206,0.010710672910156576,0.007687945379497707
2022-04-13_202444,0.009672622829484388,-0.0015643034531693226
2022-04-13_202723,0.00984244493186101,-0.004023050057985171
2022-04-13_203002,0.010293500041746709,-0.004006144711142291
2022-04-13_203240,0.008353501196634788,-0.00010785050508128851
2022-04-13_203517,0.009779802919686281,0.009114619891964555
2022-04-13_203759,0.014235759575638192,0.0183657681508836
2022-04-13_204037,0.01787612996141102,0.024618985119496013
2022-04-13_204318,0.014796872155206845,0.014057855431409062
2022-04-13_204556,0.00991386551051304,-0.0017665179109104955
2022-04-13_204838,0.0193240333736907,0.028311905526912283
2022-04-13_205119,0.013409846069043838,0.01640954729491762
2022-04-13_205416,0.014081625688044429,0.012507418508602364
2022-04-13_205711,0.0053296460656914926,0.0005648561714417193
2022-04-13_205951,0.021085268594483522,0.03627977821064149
2022-04-13_210231,0.010626328350104967,0.011999024311620615
2022-04-13_210507,0.008732052022492361,-0.005979054256702739
2022-04-13_210754,0.014254413225298478,0.02063225598375762
2022-04-13_211040,0.010098919903923894,-0.00908938390792767
2022-04-13_211322,0.017515510868800155,0.025057442156298262
2022-04-13_211603,0.023334090012157357,0.03513964544121399
2022-04-13_211840,0.09030486633808918,-0.17875135932482078
2022-04-13_212117,0.008897714636842332,-0.010592884990996969
2022-04-13_212355,0.007919258019388392,-0.008896085428937613
2022-04-13_212637,0.008052651262811123,-0.006678127002777132
2022-04-13_212915,0.006736622297413505,-0.0037306436353648107
2022-04-13_213154,0.00796064032765021,-0.0022506656849878345
2022-04-13_213438,0.007431820874846303,-0.0018956114383373054
2022-04-13_213721,0.007420988874614876,-0.0035313110370188572
2022-04-13_213959,0.006741318014179123,-0.00043254455702378976
